qid,rid,match
Q26919,R001928,1
Q01046,R462963,0
Q25290,R000293,1
Q24613,R548921,0
Q19047,R677100,1
Q08616,R298566,0
Q10733,R885728,0
Q03054,R364011,1
Q25809,R000814,1
Q29465,R004489,1
Q13951,R795813,0
Q06019,R092822,0
Q04410,R670481,0
Q06467,R109068,1
Q30638,R005668,1
Q05663,R270011,0
Q10538,R660001,0
Q25613,R000617,1
Q09319,R155679,0
Q04779,R959712,1
Q18540,R844648,0
Q12098,R748091,0
Q26653,R001661,1
Q28596,R003615,1
Q20047,R914707,1
Q25954,R000960,1
Q22311,R084981,0
Q16683,R565531,0
Q04651,R451357,1
Q28943,R003965,1
Q30026,R005053,1
Q08331,R488941,0
Q28649,R003668,1
Q22361,R419661,0
Q27577,R002589,1
Q16397,R695846,0
Q02114,R827098,0
Q27511,R002523,1
Q15280,R324684,0
Q26076,R001083,1
Q22672,R152362,0
Q27912,R002927,1
Q29677,R004703,1
Q21807,R890873,1
Q30148,R005176,1
Q18268,R093916,1
Q00165,R089915,0
Q13172,R439830,1
Q13234,R240545,1
Q29525,R004550,1
Q15567,R853078,1
Q21415,R897677,0
Q28859,R003879,1
Q15050,R279516,0
Q02780,R434311,0
Q15076,R632468,0
Q19150,R918798,0
Q26656,R001664,1
Q22560,R342006,0
Q10033,R421037,0
Q09522,R887187,0
Q06266,R490019,0
Q17209,R675922,0
Q15054,R176748,0
Q12076,R163955,0
Q27660,R002672,1
Q30466,R005495,1
Q22709,R960044,0
Q11963,R458721,0
Q02918,R030346,0
Q03831,R198492,0
Q11469,R433867,0
Q21320,R743437,0
Q29791,R004817,1
Q18742,R971973,1
Q14941,R945771,0
Q25567,R000571,1
Q14268,R944278,0
Q29234,R004256,1
Q30674,R005704,1
Q26638,R001646,1
Q14431,R064497,0
Q07602,R785478,1
Q06344,R070375,0
Q19409,R063652,1
Q28421,R003439,1
Q01003,R180251,0
Q20252,R307575,0
Q18083,R301086,0
Q14829,R523993,0
Q29987,R005014,1
Q23938,R351348,0
Q08401,R011988,0
Q20056,R497116,0
Q12856,R297771,0
Q25857,R000863,1
Q18875,R376677,0
Q29156,R004178,1
Q29470,R004495,1
Q12929,R756588,1
Q20599,R071521,0
Q30389,R005418,1
Q16424,R453351,1
Q29294,R004317,1
Q27021,R002030,1
Q05411,R278630,0
Q23288,R232733,0
Q30315,R005344,1
Q05121,R430654,1
Q29946,R004973,1
Q24187,R226497,0
Q11991,R514167,1
Q01692,R195591,1
Q09976,R744600,0
Q23925,R907748,1
Q21685,R049637,0
Q13271,R628165,0
Q10404,R544228,0
Q05937,R737945,0
Q20217,R102864,0
Q01038,R867321,0
Q16693,R471585,0
Q28139,R003157,1
Q06450,R609935,1
Q20772,R582045,0
Q28563,R003582,1
Q08006,R515917,0
Q28388,R003406,1
Q19732,R679949,1
Q08092,R597047,0
Q16795,R241326,1
Q22180,R133510,0
Q00993,R446541,0
Q16450,R332488,0
Q07559,R739924,0
Q14930,R597884,1
Q26011,R001017,1
Q03053,R046712,1
Q04913,R193128,0
Q26240,R001247,1
Q15138,R997061,0
Q15370,R635698,0
Q01491,R866326,1
Q18747,R511751,0
Q15803,R886280,0
Q20800,R302314,0
Q03821,R714224,1
Q30137,R005165,1
Q18710,R443199,1
Q26212,R001219,1
Q07200,R723361,1
Q27278,R002290,1
Q12412,R809867,0
Q10642,R375035,0
Q08877,R312973,0
Q04300,R172659,0
Q15948,R560515,0
Q05046,R010499,1
Q22770,R519461,0
Q06496,R320634,0
Q22069,R521506,0
Q13526,R881445,1
Q09382,R462927,0
Q24787,R770422,0
Q29423,R004447,1
Q27591,R002603,1
Q11601,R191241,1
Q04422,R756193,0
Q27675,R002689,1
Q28640,R003659,1
Q21970,R079394,1
Q13641,R865875,0
Q28682,R003701,1
Q00768,R491722,0
Q22814,R194225,0
Q06693,R107863,0
Q08255,R170951,0
Q21310,R812565,1
Q08349,R741381,0
Q27748,R002762,1
Q30097,R005125,1
Q23990,R312515,1
Q02753,R917506,0
Q30385,R005414,1
Q09436,R760767,0
Q22080,R491129,0
Q24801,R862824,0
Q30021,R005048,1
Q29106,R004128,1
Q19396,R252358,1
Q16271,R544047,1
Q12995,R115826,1
Q04424,R933879,0
Q05813,R586214,1
Q12892,R429909,0
Q13904,R143633,0
Q10421,R871609,0
Q28602,R003621,1
Q25810,R000815,1
Q15330,R485677,0
Q20346,R149909,1
Q23789,R647912,0
Q12746,R094659,1
Q01532,R404070,0
Q02580,R883976,0
Q09648,R071334,0
Q21690,R659989,1
Q19577,R560471,1
Q19026,R999249,0
Q06530,R480246,0
Q30665,R005695,1
Q27285,R002297,1
Q17757,R968579,1
Q19225,R026977,0
Q24034,R048322,1
Q09421,R486369,0
Q26382,R001390,1
Q28329,R003347,1
Q27547,R002559,1
Q28464,R003482,1
Q11198,R027068,0
Q26622,R001630,1
Q22680,R289047,0
Q25943,R000949,1
Q19769,R239269,1
Q06982,R641144,1
Q15207,R936417,0
Q26420,R001428,1
Q07305,R057467,1
Q13615,R918052,0
Q18541,R975375,0
Q27521,R002533,1
Q05822,R281504,0
Q14409,R014524,1
Q00590,R399352,0
Q20216,R884987,1
Q23890,R836363,1
Q27901,R002916,1
Q19405,R934900,1
Q28772,R003792,1
Q03081,R739644,0
Q24876,R717452,0
Q27780,R002794,1
Q07644,R939371,0
Q15949,R177153,0
Q28951,R003973,1
Q08740,R010466,1
